time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/clip_fraction,train/value_loss,train/n_updates,train/std,train/explained_variance,train/entropy_loss,train/approx_kl,train/loss,train/policy_gradient_loss,train/clip_range,eval/mean_reward,eval/mean_ep_length
18360,206848,101,11,24.69,-65.58307230999999,0.00038361600000000004,0.008671875059371814,147.11409912109374,1000,0.31341665983200073,0.42453163862228394,-0.516737875342369,0.004052281,65.79722595214844,-0.0016337144696626504,0.3,,
18557,208896,102,11,24.74,-62.80385448,0.00038345216,0.00033854167559184135,148.87992477416992,1010,0.3133181929588318,0.6945385932922363,-0.517079022526741,0.0034144698,70.93851470947266,-0.0009326983229994035,0.3,,
18747,210944,103,11,24.9,-48.93944239999999,0.00038328832,0.021328125562286006,152.90945129394532,1020,0.3134588897228241,0.7053402364253998,-0.5166503012180328,0.007846495,75.7354736328125,-0.0024772128459881414,0.3,,
18954,212992,104,11,23.42,-58.12366104000001,0.00038312448,0.018632812795112842,120.89914932250977,1030,0.3135277032852173,0.43294376134872437,-0.5178922444581986,0.01349646,61.82694625854492,-0.0028910992933379063,0.3,,
19164,215040,105,11,23.43,-63.84386617,0.00038296064,0.005937499983701855,173.23796920776368,1040,0.31341302394866943,0.6698106527328491,-0.5175950586795807,0.009544443,79.80036163330078,-0.0017495974584017305,0.3,,
19377,217088,106,11,22.18,-57.13162659,0.0003827968,0.0736458353465423,144.5245834350586,1050,0.3133544921875,0.3222852945327759,-0.5169632822275162,0.00782766,73.86345672607422,-0.006330581788788603,0.3,,
19569,219136,107,11,23.95,-47.18797744999999,0.00038263296000000006,0.012656250357395038,125.85973777770997,1060,0.31342196464538574,0.3892399072647095,-0.5169612973928451,0.012852757,64.7749252319336,-0.002307030539082011,0.3,,
,220000,,,,,0.00038246912000000004,0.04019531346857548,126.32809562683106,1070,0.3133693337440491,0.38510918617248535,-0.5172815203666687,0.017320834,55.9159049987793,-0.0031509444491530257,0.3,-27.674206715077162,33.8
19819,221184,108,11,23.57,-52.05466036000001,,,,,,,,,,,,,
20016,223232,109,11,23.35,-50.988250009999994,0.00038230528,0.009518229300738312,135.7775733947754,1080,0.31340867280960083,0.40321558713912964,-0.517020782828331,0.008583019,64.8532485961914,-0.0017416092056919297,0.3,,
20218,225280,110,11,21.93,-51.92827767,0.00038214144000000004,0.01537760441424325,129.19480247497557,1090,0.31347039341926575,0.4111023545265198,-0.5175148785114289,0.006983922,63.91188430786133,-0.0020878487566415417,0.3,,
20419,227328,111,11,23.74,-52.00110472999999,0.0003819776,0.07609375264728442,118.03502769470215,1100,0.31344419717788696,0.423484742641449,-0.5175786972045898,0.022625305,56.49953079223633,-0.003815696152742021,0.3,,
20606,229376,112,11,23.47,-52.62536738,0.00038181376,0.028007813123986126,137.73327026367187,1110,0.31358349323272705,0.39190512895584106,-0.5177873879671097,0.011977546,71.77490997314453,-0.00297335003670014,0.3,,
20801,231424,113,11,23.79,-52.05879049,0.00038164992000000003,0.002747395899496041,121.36858596801758,1120,0.31371867656707764,0.45136022567749023,-0.5187934428453446,0.006579643,52.452449798583984,-0.0013043005867802993,0.3,,
20996,233472,114,11,25.67,-46.136944899999996,0.00038148608,0.04579427158460021,108.22585945129394,1130,0.3136237859725952,0.4543614983558655,-0.5191428154706955,0.014957933,51.42247772216797,-0.003380789880320645,0.3,,
